"","sex","age","race","party","district","state","n"
"1","Female","25-34","Black","Democratic",1,"AL",12411
"2","Female","25-34","Black","Democratic",2,"AL",12973
"3","Female","25-34","Black","Democratic",3,"AL",12417
"4","Female","25-34","Black","Democratic",4,"AL",2466
"5","Female","25-34","Black","Democratic",5,"AL",9990
"6","Female","25-34","Black","Democratic",6,"AL",5726
"7","Female","25-34","Black","Democratic",7,"AL",30974
"8","Female","25-34","Black","Other",1,"AL",16
"9","Female","25-34","Black","Other",2,"AL",46
"10","Female","25-34","Black","Other",3,"AL",36
"11","Female","25-34","Black","Other",4,"AL",24
"12","Female","25-34","Black","Other",5,"AL",12
"13","Female","25-34","Black","Other",6,"AL",24
"14","Female","25-34","Black","Other",7,"AL",20
"15","Female","25-34","Black","Republican",1,"AL",96
"16","Female","25-34","Black","Republican",2,"AL",98
"17","Female","25-34","Black","Republican",3,"AL",276
"18","Female","25-34","Black","Republican",4,"AL",221
"19","Female","25-34","Black","Republican",5,"AL",115
"20","Female","25-34","Black","Republican",6,"AL",132
"21","Female","25-34","Black","Republican",7,"AL",119
"22","Female","25-34","Non-Hispanic White","Democratic",1,"AL",1067
"23","Female","25-34","Non-Hispanic White","Democratic",2,"AL",929
"24","Female","25-34","Non-Hispanic White","Democratic",3,"AL",1282
"25","Female","25-34","Non-Hispanic White","Democratic",4,"AL",1402
"26","Female","25-34","Non-Hispanic White","Democratic",5,"AL",1350
"27","Female","25-34","Non-Hispanic White","Democratic",6,"AL",1047
"28","Female","25-34","Non-Hispanic White","Democratic",7,"AL",643
"29","Female","25-34","Non-Hispanic White","Other",1,"AL",4020
"30","Female","25-34","Non-Hispanic White","Other",2,"AL",3806
"31","Female","25-34","Non-Hispanic White","Other",3,"AL",5518
"32","Female","25-34","Non-Hispanic White","Other",4,"AL",12197
"33","Female","25-34","Non-Hispanic White","Other",5,"AL",9479
"34","Female","25-34","Non-Hispanic White","Other",6,"AL",4645
"35","Female","25-34","Non-Hispanic White","Other",7,"AL",3237
"36","Female","25-34","Non-Hispanic White","Republican",1,"AL",13596
"37","Female","25-34","Non-Hispanic White","Republican",2,"AL",11860
"38","Female","25-34","Non-Hispanic White","Republican",3,"AL",13454
"39","Female","25-34","Non-Hispanic White","Republican",4,"AL",8773
"40","Female","25-34","Non-Hispanic White","Republican",5,"AL",9236
"41","Female","25-34","Non-Hispanic White","Republican",6,"AL",16858
"42","Female","25-34","Non-Hispanic White","Republican",7,"AL",6556
"43","Female","25-34","Non-Hispanic White","Republican",NA,"AL",1
"44","Female","25-34","Other","Democratic",1,"AL",1424
"45","Female","25-34","Other","Democratic",2,"AL",518
"46","Female","25-34","Other","Democratic",3,"AL",1278
"47","Female","25-34","Other","Democratic",4,"AL",1513
"48","Female","25-34","Other","Democratic",5,"AL",1888
"49","Female","25-34","Other","Democratic",6,"AL",1479
"50","Female","25-34","Other","Democratic",7,"AL",775
"51","Female","25-34","Other","Other",1,"AL",1069
"52","Female","25-34","Other","Other",2,"AL",1352
"53","Female","25-34","Other","Other",3,"AL",1052
"54","Female","25-34","Other","Other",4,"AL",1189
"55","Female","25-34","Other","Other",5,"AL",1139
"56","Female","25-34","Other","Other",6,"AL",1125
"57","Female","25-34","Other","Other",7,"AL",727
"58","Female","25-34","Other","Republican",1,"AL",804
"59","Female","25-34","Other","Republican",2,"AL",696
"60","Female","25-34","Other","Republican",3,"AL",597
"61","Female","25-34","Other","Republican",4,"AL",565
"62","Female","25-34","Other","Republican",5,"AL",598
"63","Female","25-34","Other","Republican",6,"AL",822
"64","Female","25-34","Other","Republican",7,"AL",298
"65","Female","35-44","Black","Democratic",1,"AL",12008
"66","Female","35-44","Black","Democratic",2,"AL",12147
"67","Female","35-44","Black","Democratic",3,"AL",10866
"68","Female","35-44","Black","Democratic",4,"AL",2299
"69","Female","35-44","Black","Democratic",5,"AL",7838
"70","Female","35-44","Black","Democratic",6,"AL",6399
"71","Female","35-44","Black","Democratic",7,"AL",27142
"72","Female","35-44","Black","Other",1,"AL",8
"73","Female","35-44","Black","Other",2,"AL",48
"74","Female","35-44","Black","Other",3,"AL",32
"75","Female","35-44","Black","Other",4,"AL",25
"76","Female","35-44","Black","Other",5,"AL",18
