"","state","sex","age","race","party","n"
"1","AL","Female","25-34","Black","Democratic",86957
"2","AL","Female","25-34","Black","Other",178
"3","AL","Female","25-34","Black","Republican",1057
"4","AL","Female","25-34","Non-Hispanic White","Democratic",7720
"5","AL","Female","25-34","Non-Hispanic White","Other",42902
"6","AL","Female","25-34","Non-Hispanic White","Republican",80334
"7","AL","Female","25-34","Other","Democratic",8875
"8","AL","Female","25-34","Other","Other",7653
"9","AL","Female","25-34","Other","Republican",4380
"10","AL","Female","35-44","Black","Democratic",78699
"11","AL","Female","35-44","Black","Other",155
"12","AL","Female","35-44","Black","Republican",1223
"13","AL","Female","35-44","Non-Hispanic White","Democratic",9974
"14","AL","Female","35-44","Non-Hispanic White","Other",18743
"15","AL","Female","35-44","Non-Hispanic White","Republican",108230
"16","AL","Female","35-44","Other","Democratic",7822
"17","AL","Female","35-44","Other","Other",6258
"18","AL","Female","35-44","Other","Republican",4845
"19","AL","Female","45-54","Black","Democratic",73775
"20","AL","Female","45-54","Black","Other",176
"21","AL","Female","45-54","Black","Republican",1646
"22","AL","Female","45-54","Non-Hispanic White","Democratic",13078
"23","AL","Female","45-54","Non-Hispanic White","Other",19507
"24","AL","Female","45-54","Non-Hispanic White","Republican",132001
"25","AL","Female","45-54","Other","Democratic",7117
"26","AL","Female","45-54","Other","Other",5399
"27","AL","Female","45-54","Other","Republican",6293
"28","AL","Female","55-64","Black","Democratic",74141
"29","AL","Female","55-64","Black","Other",188
"30","AL","Female","55-64","Black","Republican",2226
"31","AL","Female","55-64","Non-Hispanic White","Democratic",17767
"32","AL","Female","55-64","Non-Hispanic White","Other",18041
"33","AL","Female","55-64","Non-Hispanic White","Republican",147910
"34","AL","Female","55-64","Other","Democratic",5971
"35","AL","Female","55-64","Other","Other",4431
"36","AL","Female","55-64","Other","Republican",7472
"37","AL","Female","<25","Black","Democratic",43686
"38","AL","Female","<25","Black","Other",83
"39","AL","Female","<25","Black","Republican",482
"40","AL","Female","<25","Non-Hispanic White","Democratic",4345
"41","AL","Female","<25","Non-Hispanic White","Other",27342
"42","AL","Female","<25","Non-Hispanic White","Republican",33018
