"","metro_status","weight_w","vote_choice","likely_voter","sex","age","race","income","party","census_region"
"1","Metropolitan",0.3096141454,"Democrat",1,"Female","65+","Non-Hispanic White","less than $30k","Democratic","North Central"
"2","Non-metropolitan",0.6611502352,"Unsure/Other",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Other","West"
"3","Metropolitan",0.3041874036,"Republican",1,"Male","65+","Non-Hispanic White","$50k-$75k","Republican","West"
"4","Non-metropolitan",0.328821504,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","North Central"
"5","Metropolitan",0.5830231544,"Unsure/Other",1,"Female","30-49","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"6","Metropolitan",0.1038227654,"Democrat",1,"Female","50-64","Other","$100k-$150k","Democratic","Northeast"
"7","Metropolitan",0.5432756632,"Democrat",1,"Female","30-49","Other","$50k-$75k","Democratic","West"
"8","Metropolitan",0.1709108345,"Democrat",1,"Female","50-64","Non-Hispanic White","$150k or more","Republican","West"
"9","Metropolitan",0.2442950349,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$150k or more","Other","Northeast"
"10","Metropolitan",0.9338113533,"Republican",0,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","South"
"11","Metropolitan",0.136834867,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","South"
"12","Non-metropolitan",0.147374401,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","North Central"
"13","Metropolitan",0.5407201804,"Republican",1,"Male","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"14","Metropolitan",5.946841313,"Republican",0,"Male","30-49","Non-Hispanic White","$100k-$150k","Republican","South"
"15","Metropolitan",0.2087713806,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"16","Non-metropolitan",0.5580895508,"Republican",1,"Female","50-64","Non-Hispanic White","less than $30k","Republican","North Central"
"17","Metropolitan",0.3643376698,"Unsure/Other",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Other","South"
"18","Metropolitan",0.2293778806,"Republican",1,"Female","50-64","Other","$100k-$150k","Republican","West"
"19","Metropolitan",0.443660802,"Republican",1,"Male","50-64","Other","$75k-$100k","Republican","West"
"20","Metropolitan",0.1060951047,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","South"
"21","Metropolitan",0.5533498789,"Democrat",1,"Female","50-64","Other","$50k-$75k","Other","North Central"
"22","Metropolitan",0.6600392026,"Republican",1,"Female","18-29","Non-Hispanic White","$100k-$150k","Republican","Northeast"
"23","Metropolitan",0.2457915209,"Democrat",1,"Female","65+","Other","$50k-$75k","Other","South"
"24","Non-metropolitan",0.0821026288,"Democrat",1,"Male","65+","Non-Hispanic White","$150k or more","Democratic","South"
"25","Metropolitan",0.219086797,"Democrat",1,"Female","65+","Non-Hispanic White","$50k-$75k","Democratic","South"
"26","Metropolitan",0.6720754602,"Unsure/Other",0,"Female","30-49","Non-Hispanic White","less than $30k","Other","Northeast"
"27","Metropolitan",0.1562073758,"Unsure/Other",1,"Male","65+","Non-Hispanic White","$50k-$75k","Other","North Central"
"28","Metropolitan",0.2719542645,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","West"
"29","Metropolitan",0.5392534814,"Republican",1,"Male","65+","Non-Hispanic White","$150k or more","Republican","South"
"30","Metropolitan",0.0956194739,"Unsure/Other",1,"Male","50-64","Other","$150k or more","Other","North Central"
"31","Metropolitan",0.3380277808,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","West"
"32","Metropolitan",0.3890113663,"Unsure/Other",1,"Female","65+","Non-Hispanic White","less than $30k","Other","Northeast"
"33","Metropolitan",0.3198402835,"Republican",1,"Male","30-49","Non-Hispanic White","$150k or more","Republican","Northeast"
"34","Metropolitan",0.1177327663,"Democrat",1,"Male","65+","Non-Hispanic White","$75k-$100k","Democratic","West"
"35","Metropolitan",0.5792547507,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"36","Metropolitan",0.9570312891,"Democrat",1,"Female","30-49","Non-Hispanic White","less than $30k","Democratic","Northeast"
"37","Metropolitan",0.3485231317,"Democrat",1,"Male","30-49","Non-Hispanic White","$100k-$150k","Democratic","North Central"
"38","Metropolitan",1.1504650514,"Republican",1,"Male","65+","Non-Hispanic White","less than $30k","Other","South"
"39","Metropolitan",0.4670204917,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","West"
"40","Non-metropolitan",0.2069792041,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"41","Non-metropolitan",3.1370850853,"Republican",1,"Male","50-64","Non-Hispanic White","$75k-$100k","Republican","North Central"
"42","Metropolitan",0.1764578426,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Democratic","South"
"43","Metropolitan",0.0821026288,"Republican",1,"Male","50-64","Non-Hispanic White","$150k or more","Republican","South"
"44","Metropolitan",0.219144407,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","North Central"
"45","Metropolitan",0.1490664378,"Democrat",1,"Male","65+","Non-Hispanic White","$50k-$75k","Other","North Central"
"46","Metropolitan",0.1043144239,"Democrat",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Democratic","West"
"47","Metropolitan",0.0821026288,"Democrat",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"48","Metropolitan",0.2990275748,"Republican",1,"Male","30-49","Non-Hispanic White","$50k-$75k","Republican","South"
"49","Metropolitan",0.1212683853,"Democrat",1,"Male","65+","Non-Hispanic White","$50k-$75k","Democratic","West"
"50","Metropolitan",0.4687061888,"Democrat",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","Northeast"
"51","Metropolitan",0.134288136,"Republican",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Republican","West"
"52","Metropolitan",0.5391260222,"Democrat",1,"Male","65+","Black","less than $30k","Democratic","North Central"
"53","Metropolitan",0.2582285681,"Republican",1,"Female","65+","Other","$100k-$150k","Republican","West"
"54","Metropolitan",1.0613162725,"Democrat",1,"Female","65+","Non-Hispanic White","$30k-$50k","Democratic","North Central"
"55","Metropolitan",0.1508898671,"Unsure/Other",1,"Female","50-64","Black","less than $30k","Democratic","South"
"56","Metropolitan",0.2883324835,"Democrat",1,"Female","50-64","Black","$30k-$50k","Democratic","Northeast"
"57","Metropolitan",0.2199232891,"Democrat",1,"Female","65+","Black","$50k-$75k","Democratic","South"
"58","Non-metropolitan",0.1210930055,"Republican",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Republican","South"
"59","Metropolitan",0.8756762477,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","West"
"60","Metropolitan",0.1229830897,"Democrat",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"61","Metropolitan",0.6694087778,"Republican",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Republican","West"
"62","Metropolitan",0.5324868077,"Republican",1,"Female","50-64","Non-Hispanic White","$150k or more","Republican","North Central"
"63","Metropolitan",0.3989790379,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"64","Metropolitan",0.2641939771,"Democrat",1,"Female","65+","Black","$30k-$50k","Democratic","North Central"
"65","Metropolitan",2.1045877273,"Democrat",0,"Female","50-64","Non-Hispanic White","less than $30k","Democratic","North Central"
"66","Metropolitan",0.472734038,"Republican",1,"Female","30-49","Non-Hispanic White","$50k-$75k","Republican","South"
"67","Metropolitan",0.0821026288,"Democrat",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Other","North Central"
"68","Metropolitan",0.2008678099,"Republican",1,"Male","50-64","Other","$75k-$100k","Other","West"
"69","Metropolitan",0.1109720539,"Democrat",1,"Male","50-64","Non-Hispanic White","$150k or more","Other","North Central"
"70","Metropolitan",0.1627883266,"Democrat",1,"Male","30-49","Non-Hispanic White","$75k-$100k","Other","South"
"71","Metropolitan",0.3907572422,"Republican",1,"Male","65+","Non-Hispanic White","$100k-$150k","Republican","South"
"72","Metropolitan",1.6437683383,"Democrat",0,"Female","30-49","Non-Hispanic White","$75k-$100k","Other","Northeast"
"73","Metropolitan",0.1604614896,"Republican",1,"Female","50-64","Non-Hispanic White","$50k-$75k","Republican","North Central"
"74","Metropolitan",0.146367036,"Democrat",1,"Male","65+","Non-Hispanic White","$100k-$150k","Other","South"
"75","Metropolitan",0.1188230986,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","South"
"76","Metropolitan",0.1300552416,"Unsure/Other",1,"Female","65+","Non-Hispanic White","$100k-$150k","Democratic","West"
"77","Metropolitan",6.1768719501,"Democrat",1,"Female","50-64","Other","$75k-$100k","Democratic","West"
"78","Metropolitan",0.174626939,"Democrat",1,"Male","65+","Black","$100k-$150k","Democratic","South"
"79","Metropolitan",1.0809069861,"Unsure/Other",0,"Female","50-64","Non-Hispanic White","less than $30k","Other","North Central"
"80","Metropolitan",1.1010436408,"Unsure/Other",1,"Female","50-64","Non-Hispanic White","$30k-$50k","Other","West"
"81","Metropolitan",0.7643312839,"Republican",1,"Female","50-64","Other","$50k-$75k","Other","Northeast"
"82","Non-metropolitan",0.1245739295,"Democrat",0,"Female","50-64","Non-Hispanic White","$50k-$75k","Democratic","North Central"
"83","Metropolitan",0.0839278891,"Democrat",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Democratic","North Central"
"84","Metropolitan",0.1470502333,"Republican",1,"Female","50-64","Non-Hispanic White","$75k-$100k","Other","North Central"
"85","Metropolitan",0.1227211762,"Republican",1,"Female","65+","Non-Hispanic White","$100k-$150k","Republican","South"
"86","Metropolitan",0.1133949066,"Democrat",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Other","Northeast"
"87","Metropolitan",0.1260603009,"Democrat",1,"Female","50-64","Non-Hispanic White","$100k-$150k","Democratic","South"
"88","Non-metropolitan",0.2614574486,"Republican",1,"Male","50-64","Non-Hispanic White","$100k-$150k","Republican","South"
"89","Metropolitan",0.6330086408,"Democrat",1,"Male","50-64","Other","$150k or more","Democratic","South"
"90","Metropolitan",0.6278859108,"Unsure/Other",1,"Male","50-64","Other","$30k-$50k","Democratic","Northeast"
"91","Metropolitan",0.7322061594,"Republican",1,"Female","65+","Non-Hispanic White","$30k-$50k","Republican","South"
"92","Non-metropolitan",0.1282814443,"Republican",1,"Male","50-64","Non-Hispanic White","$50k-$75k","Democratic","South"
"93","Metropolitan",0.2530762085,"Democrat",1,"Male","65+","Non-Hispanic White","$50k-$75k","Democratic","West"
"94","Metropolitan",0.1160282372,"Democrat",1,"Female","65+","Non-Hispanic White","$75k-$100k","Democratic","Northeast"
"95","Metropolitan",0.6752750277,"Republican",1,"Female","30-49","Non-Hispanic White","$30k-$50k","Republican","Northeast"
